,x,y,z
1192367,320144.0,6398186.75,69.7417
1192368,320144.25,6398189.0,69.7132
1192369,320143.625,6398188.130004883,69.7235
1192370,320144.125,6398187.880004883,69.7274
1192371,320145.625,6398182.380004883,69.8005
1192372,320145.75,6398183.5,69.7862
1192373,320145.875,6398184.630004883,69.7719
1192374,320145.125,6398182.630004883,69.7966
1192375,320144.625,6398182.880004883,69.7926
1192376,320146.0,6398185.75,69.7576
1192377,320146.125,6398186.880004883,69.7432
1192378,320146.25,6398188.0,69.7289
1192379,320145.625,6398187.130004883,69.7393
1192380,320145.0,6398186.25,69.7496
1192381,320144.375,6398185.380004883,69.76
1192382,320143.75,6398184.5,69.7704
1192383,320143.125,6398183.630004883,69.7808
1192384,320143.625,6398183.380004883,69.7847
1192385,320144.125,6398183.130004883,69.7887
1192386,320145.375,6398184.880004883,69.7679
1192387,320144.875,6398185.130004883,69.764
1192388,320144.75,6398184.0,69.7783
1192415,320148.75,6398201.380004883,69.698
1192416,320148.0,6398200.0,69.6949
1192417,320147.25,6398198.630004883,69.6919
1192418,320146.5,6398197.25,69.6888
1192419,320147.75,6398198.380004883,69.6958
1192420,320147.5,6398196.75,69.6967
1192421,320148.25,6398198.130004883,69.6998
1192422,320145.75,6398195.880004883,69.6858
1192423,320145.0,6398194.5,69.6828
1192424,320144.25,6398193.130004883,69.6797
1192425,320144.75,6398192.880004883,69.6837
