time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050407:1610,34.09,0.0,54.3,2.05,8.94,15.96,2.14,0.0
20050407:1710,0.0,0.0,0.0,0.0,-1.25,13.85,2.41,0.0
20050407:1810,0.0,0.0,0.0,0.0,0.0,12.12,2.62,0.0
20050407:1910,0.0,0.0,0.0,0.0,0.0,12.21,2.69,0.0
20050407:2010,0.0,0.0,0.0,0.0,0.0,10.98,2.83,0.0
20050407:2110,0.0,0.0,0.0,0.0,0.0,10.18,2.97,0.0
20050407:2210,0.0,0.0,0.0,0.0,0.0,9.85,3.03,0.0
20050407:2310,0.0,0.0,0.0,0.0,0.0,9.66,3.1,0.0
20050408:0010,0.0,0.0,0.0,0.0,0.0,9.53,3.1,0.0
20050408:0110,0.0,0.0,0.0,0.0,0.0,9.31,3.03,0.0
20050408:0210,0.0,0.0,0.0,0.0,0.0,8.85,2.62,0.0
20050408:0310,0.0,0.0,0.0,0.0,0.0,8.12,2.48,0.0
20050408:0410,0.0,0.0,0.0,0.0,0.0,7.71,2.69,0.0
20050408:0510,29.93,8.3,39.53,1.38,11.6,8.42,2.83,0.0
20050408:0610,229.43,121.59,149.4,5.71,21.76,10.53,2.76,0.0
20050408:0710,468.23,321.75,229.72,11.31,31.42,12.88,2.76,0.0
20050408:0810,339.18,119.65,281.1,11.51,39.98,14.32,3.31,0.0
20050408:0910,263.68,31.46,284.69,10.51,46.58,15.41,3.45,0.0
20050408:1010,391.75,125.31,341.01,15.99,50.07,15.9,3.31,0.0
20050408:1110,315.2,47.46,331.81,13.97,49.57,16.5,3.24,0.0
20050408:1210,273.51,28.87,306.5,13.77,45.24,17.09,3.1,0.0
20050408:1310,175.76,0.0,217.99,8.23,38.08,17.29,3.03,0.0
20050408:1410,145.69,0.0,183.86,6.94,29.19,17.36,2.97,0.0
20050408:1510,104.16,0.0,136.54,5.15,19.37,17.17,2.55,0.0
20050408:1610,37.86,0.0,58.96,2.23,9.16,16.25,2.21,0.0
20050408:1710,0.0,0.0,0.0,0.0,-1.02,14.28,2.41,0.0
